Similarity,Context
0.2176740782588567,Related
0.3467572975533374,Related
0.3979543371742852,Related
0.46675805712309726,Related
0.40170861222107834,Related
0.2675799788023259,Related
0.23488776790004093,Related
0.23992140028870051,Related
0.3959475060222559,Related
0.3543819587915528,Related
0.4714542944837348,Related
0.4702334780997039,Related
0.2431638730127406,Related
0.2926061644681334,Related
0.23258404672858868,Related
0.3866502986334351,Related
0.48002023080379835,Related
0.25695941441134923,Related
0.41295622309600954,Related
0.3241947368888829,Related
0.4738335376130331,Related
0.2643839037824212,Related
0.40911896017700744,Related
0.3430443123324982,Related
0.4714542944837348,Related
0.518056633241881,Related
0.43839500313969815,Related
0.2819167907593368,Related
0.4270416763182875,Related
0.27346285036854767,Related
0.3087464127398213,Related
0.3159896583007354,Related
0.15549847000306016,Related
0.42247165795800257,Related
0.25695941441134923,Related
0.30527549743427074,Related
0.4234569744052713,Related
0.34973189916553904,Related
0.46981098567348933,Related
0.24503731715174634,Related
0.2740939129491248,Related
0.1761874750016335,Related
0.21180590361987015,Related
0.30835380180501865,Related
0.32900734388006003,Related
0.3829967808289547,Related
0.2926061644681334,Related
0.2886251799026425,Related
0.5519819087978853,Related
0.26769280705775117,Related
0.20442572887257987,Related
0.4953226815327432,Related
0.27841236429915095,Related
0.39207599612809896,Related
0.25760128040932295,Related
0.40344165658498976,Related
0.3644758083526797,Related
0.17426904134159843,Related
0.29175142660540765,Related
0.3395602089094207,Related
0.2675141118923856,Related
0.19546406410423622,Related
0.2710703724995547,Related
0.49142030549137544,Related
0.3087464127398213,Related
0.3842224903513041,Related
0.3303212900782899,Related
0.2675799788023259,Related
0.4498864004515808,Related
0.30326573914794897,Related
0.28849009307969176,Related
0.3959475060222559,Related
0.09121269121955289,Unrelated
0.17482733202632944,Unrelated
0.04595039876827556,Unrelated
0.05522244801772891,Unrelated
0.049314739968293865,Unrelated
-0.12142930215294241,Unrelated
0.06719579648097958,Unrelated
0.0683999507328702,Unrelated
0.10302556543364089,Unrelated
0.03216229905210651,Unrelated
0.1606530201102353,Unrelated
0.12183550368379496,Unrelated
0.13022399241489813,Unrelated
0.17572447387710133,Unrelated
-0.007416629964341765,Unrelated
0.0857956902623737,Unrelated
0.060423694397979955,Unrelated
0.13106461079583856,Unrelated
0.07760742630687043,Unrelated
0.11797753759284746,Unrelated
0.009538640709453549,Unrelated
0.04356424231936565,Unrelated
0.030197506111925225,Unrelated
0.013559396149063352,Unrelated
-0.00198120117020786,Unrelated
0.030082766857255548,Unrelated
0.017836806034366673,Unrelated
0.09125380348951781,Unrelated
-0.035951317726864426,Unrelated
0.18913254277308578,Unrelated
0.1793936783349548,Unrelated
0.11461695478533361,Unrelated
0.05388410248024133,Unrelated
0.11128374583917158,Unrelated
0.09675810402089953,Unrelated
0.05978582880832268,Unrelated
0.12665226002945837,Unrelated
0.036210279314616345,Unrelated
0.0882468875858537,Unrelated
0.2071948947775924,Unrelated
0.0489822286966936,Unrelated
0.024806347540964252,Unrelated
0.007938994681182992,Unrelated
0.04132771413027994,Unrelated
0.004407112971986364,Unrelated
0.03103896915493546,Unrelated
0.037345438009885046,Unrelated
-0.010028135254758043,Unrelated
0.013801754432824116,Unrelated
0.2449365635021804,Unrelated
0.04595210672683415,Unrelated
0.08638767798766198,Unrelated
0.2813732204337702,Unrelated
0.1291853522804123,Unrelated
0.04870181655138619,Unrelated
0.06441716071357664,Unrelated
-0.0006029883540390572,Unrelated
0.04142737672048767,Unrelated
0.046574383617829465,Unrelated
0.09587841136495241,Unrelated
0.0863648970652197,Unrelated
0.13599153229863103,Unrelated
0.07273344440592078,Unrelated
0.0544769522549619,Unrelated
0.012381937511902133,Unrelated
0.07592673655393131,Unrelated
0.11811188020657187,Unrelated
0.06196613034399859,Unrelated
0.0425299204144712,Unrelated
0.05578952904218437,Unrelated
-0.019819577936786837,Unrelated
0.09957913515947642,Unrelated
