,model_id,engine_id,engine_name,n_epochs,batch_size,lr_multiplier,temp,pres_pen,freq_pen,fact_f1,inf_fluency,inf_relevancy,abs_fluency,abs_relevancy,all_f1,all_fluency,all_relevancy,all_macro
0,0,0,curie:ft-brainmonkey-foundation-2021-10-26-08-56-48,5,5,0.1,0.1,0,2,0.25333333015441895,0.5994290113449097,0.4323174059391022,0.5292366147041321,0.43804797530174255,0.25333333015441895,0.5643328428268433,0.43518269062042236,0.4176162878672282
1,1,0,curie:ft-brainmonkey-foundation-2021-10-26-08-56-48,5,5,0.1,0.1,1,1.5,0.3266666531562805,0.5618584752082825,0.48244744539260864,0.5638326406478882,0.40881583094596863,0.3266666531562805,0.5628455877304077,0.44563162326812744,0.4450479547182719
2,2,0,curie:ft-brainmonkey-foundation-2021-10-26-08-56-48,5,5,0.1,0.4,-1,1.5,0.1599999964237213,0.6217327117919922,0.5094898343086243,0.5705558061599731,0.37925952672958374,0.1599999964237213,0.5961442589759827,0.444374680519104,0.40017297863960266
3,3,0,curie:ft-brainmonkey-foundation-2021-10-26-08-56-48,5,5,0.1,0.4,-1.5,2,0.2199999988079071,0.5866718888282776,0.46270063519477844,0.5123315453529358,0.35188838839530945,0.2199999988079071,0.5495017170906067,0.40729451179504395,0.3922654092311859
4,4,1,curie:ft-brainmonkey-foundation-2021-11-15-01-40-16,5,142,0.1,0.1,0,2,0.3149206340312958,0.5873635411262512,0.43380433320999146,0.5266940593719482,0.3852429687976837,0.3149206340312958,0.5570287704467773,0.4095236659049988,0.4271576901276906
5,5,1,curie:ft-brainmonkey-foundation-2021-11-15-01-40-16,5,142,0.1,0.1,1,1.5,0.3104761838912964,0.5563498735427856,0.47412389516830444,0.5776879191398621,0.3759234845638275,0.3104761838912964,0.5670188665390015,0.4250236749649048,0.43417290846506756
6,6,1,curie:ft-brainmonkey-foundation-2021-11-15-01-40-16,5,142,0.1,0.4,-1,1.5,0.324444442987442,0.6226170063018799,0.4839002788066864,0.6030668616294861,0.4006447196006775,0.324444442987442,0.6128419637680054,0.44227248430252075,0.4598529636859894
7,7,1,curie:ft-brainmonkey-foundation-2021-11-15-01-40-16,5,142,0.1,0.4,-1.5,2,0.23111110925674438,0.6291021108627319,0.47025585174560547,0.5905282497406006,0.34275227785110474,0.23111110925674438,0.6098151803016663,0.4065040647983551,0.41581011811892193
8,8,2,curie:ft-brainmonkey-foundation-2021-11-15-02-27-00,5,142,0.2,0.1,0,2,0.21714286506175995,0.6107832789421082,0.48967862129211426,0.5660010576248169,0.39170026779174805,0.21714286506175995,0.5883921384811401,0.44068944454193115,0.4154081493616104
9,9,2,curie:ft-brainmonkey-foundation-2021-11-15-02-27-00,5,142,0.2,0.1,1,1.5,0.30666667222976685,0.6323735117912292,0.4558791518211365,0.5543251037597656,0.3638426959514618,0.30666667222976685,0.5933493375778198,0.40986090898513794,0.4366256395975749
10,10,2,curie:ft-brainmonkey-foundation-2021-11-15-02-27-00,5,142,0.2,0.4,-1,1.5,0.3438095152378082,0.5861100554466248,0.434976726770401,0.5422679781913757,0.41402602195739746,0.3438095152378082,0.5641890168190002,0.42450135946273804,0.4441666305065155
11,11,2,curie:ft-brainmonkey-foundation-2021-11-15-02-27-00,5,142,0.2,0.4,-1.5,2,0.35333332419395447,0.6033026576042175,0.5064435005187988,0.5830941200256348,0.375903844833374,0.35333332419395447,0.5931984186172485,0.4411736726760864,0.4625684718290965
12,12,3,curie:ft-brainmonkey-foundation-2021-11-15-02-40-17,5,14,0.05,0.1,0,2,0.2504761815071106,0.6052092909812927,0.4387754499912262,0.5462642312049866,0.3929257094860077,0.2504761815071106,0.5757367610931396,0.41585057973861694,0.41402117411295575
13,13,3,curie:ft-brainmonkey-foundation-2021-11-15-02-40-17,5,14,0.05,0.1,1,1.5,0.2266666740179062,0.5732890963554382,0.44848576188087463,0.5464181303977966,0.37065282464027405,0.2266666740179062,0.5598536133766174,0.40956929326057434,0.39869652688503265
14,14,3,curie:ft-brainmonkey-foundation-2021-11-15-02-40-17,5,14,0.05,0.4,-1,1.5,0.19333332777023315,0.5743030905723572,0.468847393989563,0.5479063391685486,0.38776713609695435,0.19333332777023315,0.5611047148704529,0.42830726504325867,0.39424843589464825
15,15,3,curie:ft-brainmonkey-foundation-2021-11-15-02-40-17,5,14,0.05,0.4,-1.5,2,0.30666667222976685,0.5450451970100403,0.4579613208770752,0.5557522177696228,0.3884080946445465,0.30666667222976685,0.5503987073898315,0.42318469285964966,0.42675002415974933
16,16,4,curie:ft-brainmonkey-foundation-2021-11-15-02-58-21,5,14,0.05,0.1,0,2,0.2933333218097687,0.6121392250061035,0.48764440417289734,0.5233095288276672,0.35909703373908997,0.2933333218097687,0.567724347114563,0.42337071895599365,0.42814279596010846
17,17,4,curie:ft-brainmonkey-foundation-2021-11-15-02-58-21,5,14,0.05,0.1,1,1.5,0.30666667222976685,0.6266283988952637,0.44158807396888733,0.5726924538612366,0.38671448826789856,0.30666667222976685,0.5996603965759277,0.41415128111839294,0.44015944997469586
18,18,4,curie:ft-brainmonkey-foundation-2021-11-15-02-58-21,5,14,0.05,0.4,-1,1.5,0.2866666615009308,0.6239734292030334,0.4238576889038086,0.5751301646232605,0.39607131481170654,0.2866666615009308,0.599551796913147,0.40996450185775757,0.43206098675727844
19,19,4,curie:ft-brainmonkey-foundation-2021-11-15-02-58-21,5,14,0.05,0.4,-1.5,2,0.371111124753952,0.5597341060638428,0.4527394473552704,0.5281656384468079,0.36026617884635925,0.371111124753952,0.5439498424530029,0.4065028131008148,0.4405212601025899
20,20,5,curie:ft-brainmonkey-foundation-2021-11-15-03-26-33,5,5,0.05,0.1,0,2,0.30888888239860535,0.5932852625846863,0.446819543838501,0.573594868183136,0.3797949254512787,0.30888888239860535,0.5834400653839111,0.413307249546051,0.43521206577618915
21,21,5,curie:ft-brainmonkey-foundation-2021-11-15-03-26-33,5,5,0.05,0.1,1,1.5,0.3866666555404663,0.6164824962615967,0.4417339265346527,0.5224860310554504,0.3934008479118347,0.3866666555404663,0.5694842338562012,0.4175673723220825,0.4579060872395833
22,22,5,curie:ft-brainmonkey-foundation-2021-11-15-03-26-33,5,5,0.05,0.4,-1,1.5,0.30444443225860596,0.6044909954071045,0.4607809782028198,0.5101839900016785,0.3634166717529297,0.30444443225860596,0.5573375225067139,0.41209882497787476,0.4246269265810649
23,23,5,curie:ft-brainmonkey-foundation-2021-11-15-03-26-33,5,5,0.05,0.4,-1.5,2,0.2866666615009308,0.630258321762085,0.46903595328330994,0.5835989713668823,0.4196271300315857,0.2866666615009308,0.6069286465644836,0.4443315267562866,0.4459756116072337
24,24,6,curie:ft-brainmonkey-foundation-2021-11-15-03-41-34,5,50,0.15,0.1,0,2,0.25333333015441895,0.6588944792747498,0.4647863507270813,0.4993213415145874,0.39821895956993103,0.25333333015441895,0.5791078805923462,0.43150264024734497,0.4213146169980367
25,25,6,curie:ft-brainmonkey-foundation-2021-11-15-03-41-34,5,50,0.15,0.1,1,1.5,0.2438095211982727,0.6102149486541748,0.4878906011581421,0.5593172311782837,0.37267908453941345,0.2438095211982727,0.5847660899162292,0.43028485774993896,0.419620156288147
26,26,6,curie:ft-brainmonkey-foundation-2021-11-15-03-41-34,5,50,0.15,0.4,-1,1.5,0.2504761815071106,0.596255898475647,0.4628928005695343,0.5455430150032043,0.409773588180542,0.2504761815071106,0.570899486541748,0.43633317947387695,0.41923628250757855
27,27,6,curie:ft-brainmonkey-foundation-2021-11-15-03-41-34,5,50,0.15,0.4,-1.5,2,0.2266666740179062,0.60398930311203,0.4515240490436554,0.5322295427322388,0.400423139333725,0.2266666740179062,0.568109393119812,0.4259735941886902,0.4069165537754695
28,28,7,curie:ft-brainmonkey-foundation-2021-11-15-09-20-00,5,50,0.2,0.1,0,2,0.36444443464279175,0.6011489629745483,0.455383837223053,0.5692055225372314,0.37517526745796204,0.36444443464279175,0.5851772427558899,0.4152795672416687,0.45496708154678345
29,29,7,curie:ft-brainmonkey-foundation-2021-11-15-09-20-00,5,50,0.2,0.1,1,1.5,0.2644444406032562,0.6398546695709229,0.46073898673057556,0.5627204775810242,0.40004828572273254,0.2644444406032562,0.6012876033782959,0.43039363622665405,0.4320418934027354
30,30,7,curie:ft-brainmonkey-foundation-2021-11-15-09-20-00,5,50,0.2,0.4,-1,1.5,0.2438095211982727,0.6240318417549133,0.4469493329524994,0.5743288993835449,0.3728032112121582,0.2438095211982727,0.5991803407669067,0.40987628698349,0.41762204964955646
31,31,7,curie:ft-brainmonkey-foundation-2021-11-15-09-20-00,5,50,0.2,0.4,-1.5,2,0.27714285254478455,0.6084712743759155,0.4492418169975281,0.542661726474762,0.3707253932952881,0.27714285254478455,0.5755665302276611,0.4099836051464081,0.4208976626396179
